계약년월,시도,시군구,법정동,전세가율,거래건수,신규계약비율,소형주택비중_60이하,근저당_건수,임차권_건수,보증사고_건수,강제경매_건수,구조적위험총점,발생경보총점,종합총점,위험알림,사고알림,요약설명,사후검증
202308,서울특별시,강서구,화곡동,79.4,86,0.65,0.61,38,8,4,1,11,5,16,Warning,None,전세가율과 근저당권 동반 상승,사고 추세 지속 모니터링
202309,서울특별시,강서구,화곡동,80.6,90,0.67,0.62,40,9,5,1,12,6,18,Warning,None,구조 위험 신호 지속,사고 추세 지속 모니터링
202310,서울특별시,강서구,화곡동,81.8,94,0.68,0.63,43,11,6,2,13,7,20,Critical,Warning,복수 구조 지표 고위험,사고 신호 동반 확인
202311,서울특별시,강서구,화곡동,83.4,99,0.70,0.65,47,14,8,2,14,8,22,Critical,Warning,전세가율과 등기 신호 동시 상승,사후검증 필요
202312,서울특별시,강서구,화곡동,85.7,105,0.72,0.66,51,18,11,3,16,10,26,Critical,Warning,전세가율 고위험 구간 진입,경보 이후 사고 증가 확인
202401,서울특별시,강서구,화곡동,88.9,112,0.73,0.67,57,22,13,3,17,11,28,Critical,Warning,구조 위험 최고 구간,고위험 점검 필요
202402,서울특별시,강서구,화곡동,91.3,118,0.74,0.69,62,27,15,4,18,12,30,Critical,Warning,거래·등기·보증사고 동시 확대,선제 점검 후보
202403,서울특별시,강서구,화곡동,90.2,110,0.72,0.68,59,29,16,4,17,12,29,Critical,Warning,사고 신호 고점 지속,사후검증 필요
202404,서울특별시,강서구,화곡동,87.5,101,0.70,0.66,52,25,14,3,16,11,27,Critical,Warning,구조 위험은 완화되나 사고 신호 지속,후속 모니터링 필요
202405,서울특별시,강서구,화곡동,84.8,92,0.68,0.64,46,19,10,2,14,8,22,Critical,Warning,위험 지표 완화 구간,사고 신호 둔화 확인
202406,서울특별시,강서구,화곡동,82.1,85,0.65,0.61,39,13,7,1,12,6,18,Warning,None,경보 강도 완화,모니터링 유지
202307,인천광역시,미추홀구,주안동,72.6,49,0.59,0.53,24,3,1,0,8,1,9,None,None,구조 위험 신호 관찰 단계,사후검증 대기
202308,인천광역시,미추홀구,주안동,74.2,53,0.61,0.54,27,4,1,0,9,1,10,Warning,None,거래 및 근저당권 상승 관찰,이후 사고 추적 필요
202309,인천광역시,미추홀구,주안동,76.9,58,0.63,0.56,31,5,2,1,10,3,13,Warning,None,구조 위험 상승 구간,이후 사고 추적 필요
202310,인천광역시,미추홀구,주안동,79.8,64,0.66,0.58,36,7,3,1,12,4,16,Warning,None,전세가율과 근저당권 상승,사고 선행 신호 확인 필요
202311,인천광역시,미추홀구,주안동,83.1,72,0.68,0.61,43,10,5,2,14,6,20,Critical,Warning,구조 위험과 사고 신호 동시 확대,고위험 점검 후보
202312,인천광역시,미추홀구,주안동,86.7,79,0.71,0.63,48,14,8,2,16,8,24,Critical,Warning,전세가율 고위험 구간 진입,경보 이후 사고 증가 확인
202401,인천광역시,미추홀구,주안동,88.4,82,0.73,0.65,53,18,11,3,17,10,27,Critical,Warning,구조 위험과 사고 신호 고점,선제 점검 후보
202402,인천광역시,미추홀구,주안동,87.1,76,0.70,0.63,49,21,12,3,16,11,27,Critical,Warning,사고 신호 지속 확대,사후검증 필요
202403,인천광역시,미추홀구,주안동,84.0,69,0.67,0.60,43,19,10,2,14,9,23,Critical,Warning,구조 위험 완화 중 사고 신호 지속,후속 모니터링 필요
202404,인천광역시,미추홀구,주안동,80.6,62,0.64,0.58,37,15,8,2,12,7,19,Warning,None,위험 강도 완화,모니터링 유지
202405,인천광역시,미추홀구,주안동,77.9,55,0.61,0.55,31,10,5,1,10,5,15,Warning,None,사고 신호 둔화 확인,후속 모니터링 필요
202406,인천광역시,미추홀구,주안동,75.4,50,0.59,0.53,26,7,3,1,8,3,11,None,None,위험 지표 안정화,사후검증 종료 후보
